iter	RMSE
0	4114.935807
1	3625.917213
2	3301.08752
3	3078.929431
4	2885.992724
5	2772.678719
6	2696.043003
7	2621.995448
8	2575.946314
9	2522.313751
10	2493.777459
11	2466.756272
12	2422.077489
13	2391.178632
14	2370.869693
15	2353.622258
16	2337.187168
17	2313.915041
18	2295.428421
19	2282.646434
20	2275.084367
21	2267.700973
22	2263.177479
23	2247.968032
24	2234.067272
25	2216.760986
26	2208.937246
27	2190.53815
28	2177.7789
29	2166.279734
30	2157.651544
31	2145.175324
32	2140.205277
33	2134.539326
34	2128.936754
35	2119.740477
36	2104.44647
37	2094.802871
38	2085.379041
39	2075.792244
40	2067.393352
41	2066.593575
42	2066.146017
43	2057.483776
44	2052.929701
45	2045.542131
46	2039.528701
47	2033.891723
48	2030.0754
49	2022.480361
50	2017.992519
51	2012.033916
52	2009.580157
53	1997.996242
54	1997.437187
55	1991.386122
56	1983.384991
57	1983.092792
58	1978.669308
59	1968.131908
60	1963.767977
61	1957.701173
62	1949.915359
63	1945.176765
64	1940.625856
65	1935.765182
66	1930.310065
67	1926.9322
68	1919.5158
69	1918.234839
70	1914.664105
71	1910.42009
72	1909.12283
73	1905.163927
74	1902.065106
75	1900.60488
76	1892.751908
77	1887.380406
78	1885.823979
79	1881.515287
80	1877.886187
81	1873.678954
82	1870.258089
83	1865.398579
84	1859.053246
85	1856.128274
86	1850.069596
87	1846.512849
88	1843.177783
89	1839.496008
90	1835.891705
91	1831.937439
92	1831.676603
93	1828.652395
94	1825.867111
95	1822.43899
96	1817.586014
97	1812.647527
98	1812.437139
