iter	Passed	Remaining
0	3	3304
1	6	3153
2	10	3527
3	14	3647
4	19	3854
5	22	3681
6	24	3497
7	26	3321
8	28	3134
9	30	2996
10	31	2876
11	33	2748
12	35	2657
13	36	2581
14	38	2517
15	40	2470
16	41	2427
17	43	2387
18	45	2347
19	47	2309
20	49	2284
21	50	2260
22	52	2234
23	54	2209
24	56	2184
25	57	2165
26	59	2148
27	61	2134
28	63	2123
29	65	2112
30	67	2097
31	68	2081
32	70	2069
33	72	2062
34	74	2051
35	76	2038
36	77	2029
37	79	2017
38	81	2007
39	83	1999
40	85	1992
41	86	1982
42	88	1972
43	90	1962
44	92	1953
45	93	1944
46	95	1941
47	97	1938
48	99	1930
49	101	1924
50	103	1918
51	104	1912
52	106	1904
53	108	1897
54	110	1890
55	111	1884
56	113	1876
57	115	1873
58	117	1866
59	118	1860
60	120	1856
61	122	1849
62	124	1844
63	125	1840
64	127	1836
65	129	1835
66	131	1829
67	133	1824
68	134	1818
69	136	1813
70	138	1809
71	140	1805
72	141	1802
73	143	1801
74	145	1791
75	146	1787
76	148	1783
77	150	1779
78	152	1774
79	153	1770
80	155	1764
81	157	1760
82	159	1757
83	160	1754
84	162	1750
85	164	1745
86	165	1741
87	167	1740
88	169	1736
89	171	1733
90	173	1730
91	175	1727
92	176	1725
93	178	1721
94	180	1717
95	181	1713
96	183	1709
97	185	1705
98	187	1703
99	188	1699
100	190	1698
101	192	1697
102	194	1696
103	196	1695
104	198	1693
105	200	1689
106	201	1685
107	203	1680
108	205	1678
109	207	1677
110	209	1674
111	210	1670
112	212	1667
113	214	1663
114	215	1661
115	217	1657
116	219	1654
117	221	1652
118	223	1651
119	224	1648
120	226	1645
121	228	1642
122	230	1640
123	231	1638
124	233	1634
125	235	1632
126	237	1630
127	238	1628
128	240	1625
129	242	1623
130	244	1620
131	245	1617
132	247	1615
133	249	1612
134	251	1609
135	252	1607
136	254	1604
137	256	1602
138	258	1599
139	260	1597
140	261	1595
141	263	1592
142	265	1589
143	267	1588
144	269	1586
145	270	1584
146	272	1582
147	274	1579
148	276	1576
149	277	1574
150	279	1571
151	281	1570
152	282	1566
153	284	1564
154	286	1561
155	288	1559
156	289	1556
157	291	1553
158	293	1551
159	295	1548
160	296	1545
161	298	1543
162	300	1540
163	301	1538
164	303	1536
165	305	1534
166	307	1532
167	308	1529
168	310	1527
169	312	1525
170	314	1523
171	316	1521
172	317	1519
173	319	1516
174	321	1514
175	323	1512
176	324	1510
177	326	1509
178	328	1506
179	330	1504
180	331	1502
181	333	1499
182	335	1496
183	337	1494
184	338	1493
185	340	1491
186	342	1489
187	344	1487
188	346	1485
189	347	1482
190	349	1480
191	351	1478
192	353	1476
193	355	1475
194	357	1474
195	358	1472
196	360	1470
197	362	1467
198	364	1465
199	365	1463
200	367	1460
201	369	1458
202	371	1457
203	372	1454
204	374	1452
205	376	1450
206	378	1448
207	379	1446
208	381	1444
209	383	1441
210	385	1439
211	386	1437
212	388	1435
213	390	1433
214	392	1431
215	393	1429
216	395	1427
217	397	1425
218	399	1424
219	401	1422
220	403	1420
221	404	1418
222	406	1416
223	408	1413
224	409	1412
225	411	1410
226	413	1407
227	415	1405
228	416	1403
229	418	1401
230	420	1399
231	422	1397
232	423	1395
233	425	1393
234	427	1391
235	429	1389
236	430	1387
237	432	1385
238	434	1383
239	436	1381
240	438	1379
241	439	1377
242	441	1375
243	443	1373
244	445	1371
245	446	1369
246	448	1367
247	450	1365
248	451	1363
249	453	1361
250	455	1359
251	457	1357
252	459	1355
253	461	1354
254	462	1351
255	464	1349
256	466	1348
257	468	1346
258	469	1344
259	471	1341
260	473	1339
261	475	1338
262	476	1336
263	478	1334
264	480	1331
265	482	1330
266	483	1328
267	485	1326
268	487	1324
269	489	1322
270	490	1320
271	492	1318
272	494	1316
273	496	1314
274	497	1312
275	499	1310
276	501	1308
277	502	1306
278	504	1304
279	506	1302
280	508	1301
281	510	1299
282	512	1297
283	513	1295
284	515	1293
285	517	1291
286	519	1289
287	520	1287
288	522	1285
289	524	1283
290	525	1281
291	527	1279
292	529	1277
293	531	1275
294	532	1273
295	534	1271
296	536	1269
297	538	1267
298	539	1265
299	541	1263
300	542	1260
301	544	1258
302	546	1257
303	547	1254
304	550	1253
305	551	1251
306	553	1250
307	555	1248
308	557	1246
309	559	1244
310	560	1242
311	562	1240
312	564	1238
313	566	1236
314	567	1234
315	569	1232
316	571	1230
317	573	1228
318	574	1227
319	576	1225
320	578	1224
321	580	1222
322	582	1221
323	584	1219
324	586	1218
325	588	1216
326	590	1215
327	592	1213
328	594	1211
329	596	1210
330	597	1208
331	599	1206
332	601	1205
333	603	1203
334	605	1201
335	607	1199
336	608	1197
337	610	1195
338	612	1194
339	614	1192
340	616	1190
341	617	1188
342	619	1186
343	621	1184
344	623	1182
345	624	1181
346	626	1179
347	628	1177
348	630	1175
349	632	1174
350	633	1172
351	635	1170
352	637	1168
353	639	1167
354	640	1164
355	642	1162
356	644	1160
357	646	1158
358	647	1156
359	649	1154
360	651	1152
361	653	1150
362	654	1148
363	656	1146
364	658	1145
365	660	1143
366	661	1141
367	663	1140
368	665	1138
369	667	1136
370	669	1134
371	670	1132
372	672	1130
373	674	1128
374	676	1126
375	677	1124
376	679	1122
377	681	1120
378	683	1119
379	684	1117
380	686	1115
381	688	1113
382	689	1111
383	691	1109
384	693	1107
385	695	1105
386	696	1103
387	698	1101
388	700	1099
389	701	1097
390	703	1095
391	704	1093
392	706	1091
393	708	1089
394	710	1087
395	711	1085
396	713	1083
397	715	1082
398	717	1080
399	719	1078
400	720	1076
401	722	1075
402	724	1073
403	726	1071
404	728	1069
405	729	1067
406	731	1065
407	733	1064
408	735	1062
409	736	1060
410	738	1058
411	740	1057
412	742	1055
413	744	1053
414	745	1051
415	747	1049
416	749	1047
417	751	1045
418	752	1044
419	754	1042
420	756	1040
421	758	1038
422	759	1036
423	761	1034
424	763	1032
425	764	1030
426	766	1028
427	768	1027
428	770	1025
429	772	1023
430	773	1021
431	775	1019
432	777	1018
433	779	1016
434	781	1014
435	782	1012
436	784	1010
437	786	1008
438	788	1007
439	789	1005
440	791	1003
441	793	1001
442	795	999
443	796	997
444	798	995
445	800	994
446	802	992
447	804	991
448	806	989
449	808	987
450	810	986
451	811	984
452	813	982
453	815	980
454	817	978
455	818	977
456	820	975
457	822	973
458	824	971
459	826	969
460	827	968
461	830	966
462	831	964
463	833	962
464	835	961
465	837	959
466	839	957
467	840	955
468	842	953
469	844	952
470	846	950
471	847	948
472	849	946
473	851	944
474	853	942
475	854	940
476	856	939
477	858	937
478	860	935
479	861	933
480	863	931
481	865	930
482	867	928
483	868	926
484	870	924
485	872	922
486	874	920
487	876	919
488	877	917
489	879	915
490	881	913
491	883	911
492	884	909
493	886	907
494	888	906
495	890	904
496	892	902
497	893	901
498	895	899
499	897	897
500	899	895
501	900	893
502	902	891
503	904	889
504	906	888
505	908	886
506	909	884
507	911	882
508	913	880
509	914	879
510	916	877
511	918	875
512	920	873
513	921	871
514	923	869
515	925	868
516	927	866
517	929	864
518	930	862
519	932	860
520	934	858
521	936	857
522	937	855
523	939	853
524	941	851
525	943	849
526	945	848
527	946	846
528	948	844
529	950	842
530	952	841
531	953	839
532	955	837
533	957	835
534	959	833
535	960	831
536	962	829
537	964	828
538	966	826
539	968	824
540	969	822
541	971	821
542	973	819
543	975	817
544	976	815
545	978	813
546	980	811
547	981	809
548	983	807
549	985	806
550	987	804
551	988	802
552	990	800
553	992	798
554	994	797
555	995	795
556	997	793
557	999	791
558	1000	789
559	1002	787
560	1004	786
561	1006	784
562	1007	782
563	1009	780
564	1011	778
565	1013	776
566	1014	775
567	1016	773
568	1018	771
569	1020	769
570	1021	767
571	1023	765
572	1025	764
573	1027	762
574	1028	760
575	1030	758
576	1032	756
577	1034	755
578	1036	753
579	1037	751
580	1039	749
581	1041	747
582	1043	746
583	1044	744
584	1046	742
585	1048	740
586	1050	738
587	1051	737
588	1053	735
589	1055	733
590	1057	731
591	1058	729
592	1060	728
593	1062	726
594	1064	724
595	1066	722
596	1067	720
597	1069	718
598	1071	717
599	1073	715
600	1075	713
601	1076	711
602	1078	710
603	1080	708
604	1082	706
605	1083	704
606	1085	703
607	1087	701
608	1089	699
609	1090	697
610	1092	695
611	1094	693
612	1096	692
613	1098	690
614	1099	688
615	1101	686
616	1103	684
617	1105	683
618	1106	681
619	1108	679
620	1110	677
621	1112	675
622	1113	674
623	1115	672
624	1117	670
625	1119	668
626	1121	667
627	1123	665
628	1124	663
629	1126	661
630	1128	659
631	1130	658
632	1132	656
633	1133	654
634	1135	652
635	1137	651
636	1139	649
637	1141	647
638	1142	645
639	1144	643
640	1146	642
641	1148	640
642	1149	638
643	1151	636
644	1153	634
645	1155	633
646	1157	631
647	1158	629
648	1160	627
649	1162	625
650	1164	624
651	1165	622
652	1167	620
653	1169	618
654	1170	616
655	1172	614
656	1174	613
657	1176	611
658	1178	609
659	1180	607
660	1182	606
661	1184	604
662	1186	602
663	1188	601
664	1190	599
665	1192	597
666	1193	596
667	1196	594
668	1198	592
669	1199	590
670	1201	589
671	1203	587
672	1205	585
673	1206	583
674	1208	581
675	1210	580
676	1212	578
677	1213	576
678	1215	574
679	1217	572
680	1218	571
681	1220	569
682	1222	567
683	1224	565
684	1226	563
685	1227	561
686	1229	560
687	1231	558
688	1233	556
689	1235	554
690	1237	553
691	1238	551
692	1240	549
693	1242	547
694	1244	545
695	1245	544
696	1247	542
697	1249	540
698	1251	538
699	1252	536
700	1254	535
701	1256	533
702	1258	531
703	1260	529
704	1261	527
705	1263	526
706	1265	524
707	1267	522
708	1268	520
709	1270	519
710	1272	517
711	1274	515
712	1275	513
713	1277	511
714	1279	510
715	1281	508
716	1282	506
717	1284	504
718	1286	502
719	1288	501
720	1290	499
721	1292	497
722	1294	495
723	1295	494
724	1297	492
725	1299	490
726	1301	488
727	1302	486
728	1304	484
729	1306	483
730	1308	481
731	1309	479
732	1311	477
733	1313	476
734	1315	474
735	1317	472
736	1318	470
737	1320	468
738	1322	467
739	1324	465
740	1326	463
741	1328	461
742	1330	460
743	1331	458
744	1333	456
745	1335	454
746	1337	452
747	1339	451
748	1340	449
749	1342	447
750	1344	445
751	1346	444
752	1348	442
753	1349	440
754	1351	438
755	1353	436
756	1355	435
757	1357	433
758	1358	431
759	1360	429
760	1362	427
761	1364	426
762	1366	424
763	1367	422
764	1369	420
765	1371	418
766	1373	417
767	1375	415
768	1376	413
769	1378	411
770	1380	410
771	1382	408
772	1384	406
773	1385	404
774	1387	402
775	1389	401
776	1390	399
777	1392	397
778	1394	395
779	1396	393
780	1397	391
781	1399	390
782	1401	388
783	1403	386
784	1404	384
785	1406	382
786	1408	381
787	1410	379
788	1411	377
789	1413	375
790	1415	374
791	1417	372
792	1419	370
793	1420	368
794	1422	366
795	1424	365
796	1425	363
797	1427	361
798	1429	359
799	1431	357
800	1432	355
801	1434	354
802	1436	352
803	1437	350
804	1439	348
805	1441	346
806	1443	345
807	1444	343
808	1446	341
809	1448	339
810	1450	338
811	1452	336
812	1453	334
813	1455	332
814	1457	330
815	1459	329
816	1461	327
817	1462	325
818	1464	323
819	1466	321
820	1468	320
821	1469	318
822	1471	316
823	1473	314
824	1475	312
825	1477	311
826	1478	309
827	1480	307
828	1482	305
829	1484	304
830	1486	302
831	1487	300
832	1489	298
833	1491	296
834	1492	294
835	1494	293
836	1496	291
837	1498	289
838	1500	287
839	1501	286
840	1503	284
841	1505	282
842	1507	280
843	1509	278
844	1511	277
845	1512	275
846	1514	273
847	1516	271
848	1518	270
849	1519	268
850	1521	266
851	1523	264
852	1525	262
853	1527	261
854	1529	259
855	1530	257
856	1532	255
857	1534	253
858	1535	252
859	1537	250
860	1539	248
861	1541	246
862	1543	245
863	1545	243
864	1547	241
