iter	Logloss
0	0.6783036725
1	0.6637876579
2	0.6500020687
3	0.636638681
4	0.6253527652
5	0.6135049331
6	0.6024981337
7	0.5930989931
8	0.5841609857
9	0.5749752928
10	0.5675559066
11	0.5600051303
12	0.5521886986
13	0.5448072969
14	0.537884909
15	0.5314083557
16	0.5260421034
17	0.519972211
18	0.5147907044
19	0.5096074358
20	0.504544218
21	0.4996963549
22	0.4950937567
23	0.4910101109
24	0.4876403059
25	0.4840421035
26	0.4806713003
27	0.4775151538
28	0.473895899
29	0.4706221368
30	0.4677058968
31	0.4646770091
32	0.4619633206
33	0.4594378219
34	0.4569840818
35	0.4545779586
36	0.4524833599
37	0.45060093
38	0.4484921413
39	0.4467643947
40	0.4449495591
41	0.4432549703
42	0.4411422014
43	0.4396399271
44	0.4381705673
45	0.4367575568
46	0.4353621873
47	0.4337046786
48	0.4325108419
49	0.4313089682
50	0.4301249457
51	0.4289502801
52	0.4279616417
53	0.4268636816
54	0.4257010581
55	0.4243692428
56	0.4233866097
57	0.4224641492
58	0.4215657912
59	0.4207084563
60	0.4197911659
61	0.4190572726
62	0.4183731233
63	0.417629479
64	0.4168901582
65	0.4161483396
66	0.415443465
67	0.4147458602
68	0.4139862067
69	0.4133925436
70	0.4126438309
71	0.4119358623
72	0.4114826642
73	0.4110013661
74	0.4107091556
75	0.410050148
76	0.4093677847
77	0.4088926443
78	0.4081811745
79	0.4076720878
80	0.4070609767
81	0.4064438612
82	0.4058668781
83	0.4053066057
84	0.4048365739
85	0.4044818814
86	0.4040270746
87	0.4033461586
88	0.4029425464
89	0.4025841947
90	0.4021811275
91	0.4018156819
92	0.4013369079
93	0.4007688074
94	0.4003613884
95	0.3998998866
96	0.3996103612
97	0.3992418517
98	0.3989049754
99	0.3984810934
100	0.3981787277
101	0.3978946348
102	0.3975530517
103	0.3972109927
104	0.3969604471
105	0.3966250014
106	0.39632856
107	0.3960626158
108	0.3958694131
109	0.3956205323
110	0.39530715
111	0.3950562132
112	0.3947366725
113	0.3944844815
114	0.3941916316
115	0.3939371073
116	0.3937089156
117	0.3934409138
118	0.393185344
119	0.3928973904
120	0.392647236
121	0.3923853881
122	0.3921325107
123	0.3918473862
124	0.3915812729
125	0.3913250665
126	0.3910271699
127	0.3907949059
128	0.3905307966
129	0.3902624184
130	0.3900735025
131	0.3898480326
132	0.3896156051
133	0.3894516554
134	0.3891405006
135	0.3889156478
136	0.3887175559
137	0.388536499
138	0.3882602807
139	0.3881199696
140	0.3878400017
141	0.387626442
142	0.3874148385
143	0.3872035013
144	0.3870012534
145	0.3867945656
146	0.3865255994
147	0.3863544181
148	0.3860850804
149	0.3858551322
150	0.3857362368
151	0.3855191666
152	0.3854164171
153	0.3851665306
154	0.3850194367
155	0.384830894
156	0.3846621628
157	0.3844637608
158	0.3842971628
159	0.3841168001
160	0.3840010347
161	0.3838680985
162	0.3837211438
163	0.383483384
164	0.3832618384
165	0.3829984715
166	0.3828485295
167	0.3826891865
168	0.3823897619
169	0.3822225054
170	0.3819843592
171	0.381754566
172	0.3815669975
173	0.3814517147
174	0.3812982972
175	0.3811100432
176	0.3809177528
177	0.3808164784
178	0.3805812592
179	0.3803631684
180	0.3801398287
181	0.3800072031
182	0.3798797955
183	0.3797388217
184	0.3795748245
185	0.3793249391
186	0.3791955485
187	0.3790711949
188	0.3789926435
189	0.3787953353
190	0.3785847287
191	0.3783761326
192	0.3781818551
193	0.3779650099
194	0.3777822127
195	0.3776683887
196	0.3775810626
197	0.3774449506
198	0.3772771326
199	0.3771641021
200	0.3770372334
201	0.3768719065
202	0.3766268291
203	0.3765260394
204	0.3763381719
205	0.3761926819
206	0.3759812315
207	0.3757146777
208	0.3756084671
209	0.3754463662
210	0.3752467251
211	0.375056835
212	0.3748303867
213	0.3746619825
214	0.3744368528
215	0.3742580268
216	0.3742285265
217	0.3741227424
218	0.374054333
219	0.3737754395
220	0.373695892
221	0.37360798
222	0.3734439102
223	0.3732738551
224	0.3731131778
225	0.3729999605
226	0.3729049911
227	0.3726780916
228	0.3724546603
229	0.3723799756
230	0.3722127964
231	0.3721452435
232	0.3720053077
233	0.3717938881
234	0.3716002633
235	0.3714475797
236	0.3713646674
237	0.3712586966
238	0.3710723408
239	0.3709042244
240	0.3707406371
241	0.3705158005
242	0.3704466996
243	0.3702308431
244	0.3700977167
245	0.3698992487
246	0.3697942362
247	0.3696130252
248	0.3694397421
249	0.3693039383
250	0.369124751
251	0.3689012403
252	0.3688141603
253	0.3686708821
254	0.3685367726
255	0.3684481624
256	0.3682162444
257	0.3681204415
258	0.368009478
259	0.3678772092
260	0.3677626628
261	0.3675384396
262	0.3673933411
263	0.3672289915
264	0.3671719326
265	0.3669532887
266	0.3668052438
267	0.3666714218
268	0.3665309703
269	0.3662221436
270	0.3660926231
271	0.3659327385
272	0.3658161909
273	0.3657386913
274	0.3655398115
275	0.3653761553
276	0.3652843575
277	0.3651843963
278	0.3650738375
279	0.3649331785
280	0.3647317042
281	0.3645343386
282	0.3643924976
283	0.3642008784
284	0.3640807855
285	0.3639265027
286	0.3637926611
287	0.3636280103
288	0.3635483341
289	0.3634372749
290	0.3633169786
291	0.3632238767
292	0.3631288581
293	0.3630550873
294	0.362987095
295	0.3629019303
296	0.3627373801
297	0.3626395252
298	0.3624879024
299	0.3622946946
300	0.3622751171
301	0.3621322626
302	0.3620143198
303	0.3620031463
304	0.3618715018
305	0.361723187
306	0.3616386655
307	0.3615133007
308	0.3614073551
309	0.3612490554
310	0.3611000554
311	0.3610080718
312	0.3609282489
313	0.3607382674
314	0.3606657112
315	0.3605242956
316	0.3604081965
317	0.3602264448
318	0.3600388003
319	0.3598950643
320	0.3597139444
321	0.3596325046
322	0.3594069682
323	0.3592999981
324	0.3591261447
325	0.3590332646
326	0.3588404891
327	0.3586580877
328	0.3584662721
329	0.3583310612
